"Date","Price","Open","High","Low","Vol.","Change %"
"05-09-2025","1,374.30","1,365.90","1,380.80","1,359.35","371.45K","1.11%"
"04-09-2025","1,359.20","1,370.00","1,374.45","1,356.60","838.45K","-0.90%"
"03-09-2025","1,371.55","1,369.90","1,376.45","1,361.15","308.66K","0.38%"
"02-09-2025","1,366.30","1,357.75","1,384.65","1,355.00","466.42K","0.92%"
"01-09-2025","1,353.85","1,357.85","1,363.20","1,341.70","314.14K","-0.24%"
"29-08-2025","1,357.05","1,384.20","1,403.00","1,350.30","870.45K","-2.21%"
"28-08-2025","1,387.65","1,387.05","1,392.80","1,367.00","422.52K","0.17%"
"26-08-2025","1,385.30","1,409.95","1,409.95","1,381.40","1.70M","-1.95%"
"25-08-2025","1,412.90","1,413.05","1,419.00","1,405.55","767.07K","0.26%"
"22-08-2025","1,409.30","1,423.60","1,423.60","1,408.00","334.23K","-1.08%"
"21-08-2025","1,424.65","1,424.00","1,431.80","1,421.00","1.25M","0.86%"
"20-08-2025","1,412.45","1,414.95","1,424.60","1,410.20","429.89K","-0.53%"
"19-08-2025","1,419.95","1,389.70","1,421.80","1,389.70","1.32M","2.82%"
"18-08-2025","1,380.95","1,388.30","1,395.00","1,377.15","422.42K","0.52%"
"14-08-2025","1,373.75","1,379.80","1,380.75","1,369.95","447.77K","-0.64%"
"13-08-2025","1,382.65","1,389.80","1,391.70","1,377.70","369.17K","0.16%"
"12-08-2025","1,380.40","1,384.65","1,401.25","1,375.10","635.91K","-0.46%"
"11-08-2025","1,386.80","1,370.00","1,388.20","1,361.20","901.13K","1.38%"
"08-08-2025","1,367.95","1,387.95","1,396.75","1,365.50","938.69K","-1.65%"
"07-08-2025","1,390.85","1,385.10","1,393.90","1,366.25","642.90K","-0.15%"